"id","indicator","biomass","logbiomass","composition","x","y","t2.loc","t2.scale","t1.loc","t1.scale","d.pz","t2.pz"
"55",1,416.624167747389,6.03218453901988,0.00675675675675676,364000,1156000,5.93283292427532,0.801323019973831,1.48211321421532,5.01576763826207,-1.33006596324272,0.14029356895542
"56",1,208.611681808647,5.3404745419989,0.0466666666666667,372000,1156000,6.54026274364742,2.58726425967282,1.64097897862488,7.04035091731809,-2.24476972340107,-0.397467971969811
"57",1,1144.23265475901,7.04248952080755,0.051948051948052,380000,1156000,6.29662849028853,2.54206329188614,0.492807332093926,6.93173363551255,-1.24359069477199,-0.173599972173387
"58",1,566.921762089127,6.34022130847338,0.027027027027027,388000,1156000,6.64185934307833,1.47696373702841,0.461150497075198,6.44714525840091,-1.61526228203267,-0.494669473201782
"59",1,278.099452015618,5.62797879077993,0.0333333333333333,396000,1156000,7.0828875780665,3.00519655988228,1.30309975277302,6.62008470157494,-2.25805874676704,-0.948733064884775
"60",1,312.936557595471,5.74600047860721,0.0205479452054795,404000,1156000,7.07298338253295,2.90992322557543,1.28092712251901,6.68891155154421,-2.14119836916103,-0.937880016398166
"61",1,4254.13942571786,8.3556477704271,0.0526315789473684,412000,1156000,6.14004006182596,5.33082260908629,1.82512316133445,7.1839296154172,-0.0311495519831343,-0.035785489235691
"62",1,436.99299842837,6.07991717306419,0.0142857142857143,420000,1156000,6.21825383464848,0.957167575183289,0.449463392036117,5.97741596901267,-0.648050844814194,-0.104074523479744
"63",0,0,NA,0,428000,1156000,5.50778588525541,3.14716660503963,0.730491209490986,-15.7428510874987,0.912882144837844,0.48291419740977
"64",0,0,NA,0,436000,1156000,5.01134209509932,2.914078860737,0.729918956178541,-15.7570999697066,2.01894063829498,0.858778164839771
"65",1,82.9699310352366,4.41847826547465,0.0126582278481013,308000,1148000,4.29779146898617,0.687460635014088,1.56127951843555,6.12183656566091,1.52165311892981,1.36737204702549
"66",0,0,NA,0,316000,1148000,4.83568990850603,2.83581020003072,0.726774832226677,-15.8355872664368,0.0693676224055967,0.986922781450537
"67",1,525.829744854896,6.26497748135927,0.0266666666666667,324000,1148000,4.60108693056683,3.34214101439108,0.747732093924452,6.55302506192963,1.23894978887239,1.15487293738448
"68",0,0,NA,0,332000,1148000,4.89684652979723,2.86281944023064,0.723340771533507,-15.9217012061842,0.566239341890894,0.942555499753169
"69",0,0,NA,0,340000,1148000,4.85809782858917,2.84567673877053,0.719797505797733,-16.0109832158758,0.979995028836991,0.97069628725025
"70",1,16.761194198394,2.81906634540304,0.00666666666666667,348000,1148000,5.45768084351274,2.75304833062284,1.57609352999316,4.93550406204682,-0.721073259684436,0.521906434057739
"71",1,444.417447999997,6.09676431892093,0.0405405405405405,356000,1148000,5.68031502308038,1.6480429886727,0.938623168953575,6.56630554932471,-1.13720224637055,0.346533165753238
"72",1,1200.94957998371,7.09086783950323,0.04,364000,1148000,6.29750210248444,2.63999592483319,1.19004460343547,6.48030285437565,-2.34771241291924,-0.174381371243219
"73",1,426.707663423214,6.05609914977773,0.10958904109589,372000,1148000,6.61997265856358,1.94490209776179,1.46771645908899,7.27592086060514,-2.7147484767718,-0.473522333454964
"74",0,0,NA,0,380000,1148000,7.0597773375723,4.00306866280292,0.710638405530075,-16.2438232478324,-3.08207553139287,-0.92346087027542
"75",1,8.27347971374518,2.11305518399114,0.00657894736842105,388000,1148000,6.34275548348178,3.4216748698226,1.6603290463325,4.7082576704497,-1.58787490678461,-0.215057857119484
"76",1,898.492748228201,6.8007186352152,0.0723684210526316,396000,1148000,6.53165787978623,1.48097959635076,0.784023604865536,7.09956172656891,-1.78645638094204,-0.389345548368932
"77",1,158.560187178648,5.06613425107195,0.027027027027027,404000,1148000,6.48936977519128,2.72133596127731,1.41649365253115,6.3373535225057,-1.63070548471427,-0.349669012669045
"78",1,546.427794120572,6.30340217467987,0.0158730158730159,412000,1148000,6.0103285226674,1.43039978871443,1.01991648494794,5.80830721703362,-0.628281075221517,0.0752207691043244
"79",0,0,NA,0,420000,1148000,5.38269313230011,3.08673278652652,0.719662199282471,-16.0144013295724,0.796180015507359,0.579780634463952
"80",0,0,NA,0,428000,1148000,4.93514367188288,2.87986383788264,0.720215680860976,-16.000423335938,1.63962085783039,0.914639158846569
"81",0,0,NA,0,436000,1148000,4.65042194535518,2.75553370703922,0.720521838799001,-15.9926960324287,1.95895183207743,1.11983438947627
"82",0,0,NA,0,308000,1140000,5.0752265492689,2.94307767050486,0.726452312905661,-15.8436575640064,-0.126432952511689,0.81160599557986
"83",1,24.2920147308772,3.19014768444372,0.00609756097560976,316000,1140000,4.80207868364316,2.18034692651975,1.18249191763552,4.2646185156367,1.16228664688741,1.01119885131391
"84",1,89.1431511179271,4.49024351710594,0.00632911392405063,324000,1140000,5.2054163064182,1.725329277534,0.557216868472927,4.68307163402888,0.0903882049839615,0.714457159449321
"85",0,0,NA,0,332000,1140000,5.14839717210644,2.97664642787898,0.725547919179088,-15.8663070430743,0.463867902266978,0.757178628112407
"86",1,60.2104245383333,4.09784550241203,0.00625,340000,1140000,5.21724253482963,2.05586748343508,0.657795853493211,4.3806496251151,0.295475039482619,0.70556145483345
"87",1,518.704989262983,6.25133530009456,0.03125,348000,1140000,6.05161136901803,1.17323390558382,0.562329333822689,6.41267853910683,-2.00779316771944,0.0401829865884971
"88",1,346.284652942776,5.84726113319497,0.037037037037037,356000,1140000,6.13626238137266,1.33895390915673,0.974224274888158,6.36942561308156,-2.22486237330778,-0.0325137554123468
"89",1,34.4021665268054,3.53811954282656,0.0121951219512195,364000,1140000,6.46324144236358,3.2874708699191,1.69521603548272,5.81858818196679,-2.8317160092747,-0.325350338944285
"90",1,779.728336550395,6.65894557254396,0.13125,372000,1140000,6.70048592142631,0.57259965190182,0.955903188815207,7.11626771884673,-3.09960623875315,-0.551899046832208
"91",1,573.913650764575,6.35247895079515,0.186666666666667,380000,1140000,6.42375930081886,0.715709838599902,1.42784157427229,7.46147707408578,-2.58766386424922,-0.288879294098922
"92",1,319.13847526817,5.76562510034403,0.0197368421052632,388000,1140000,6.75671416295044,2.49503170141694,0.763682362593664,6.08388917024972,-2.97005652502526,-0.607614670779404
"93",1,1426.3080766094,7.26284462014351,0.0675675675675676,396000,1140000,6.00923051663556,3.39341825810356,0.761488095415479,7.00832590003563,-1.4439144584928,0.0761490716387018
"94",1,162.09294302686,5.08816989310464,0.0194805194805195,404000,1140000,5.94541447007751,2.08077804880533,1.30173287417649,6.14349208890755,-1.3091767546614,0.12978938497415
"95",0,0,NA,0,412000,1140000,5.26745513559147,3.03208739445417,0.709967938249699,-16.2609853774326,0.326605330404609,0.667654116818919
"96",0,0,NA,0,420000,1140000,4.75725082150255,2.80154099937161,0.711476395285174,-16.2223957524972,1.50739256769531,1.04346089429228
"97",1,197.05309102794,5.28347319003379,0.00666666666666667,428000,1140000,4.46738154112803,2.02281046203973,0.895283861136104,4.85377382222865,1.81925723643989,1.24914274049659
"98",0,0,NA,0,436000,1140000,4.31074081160605,2.61420639906039,0.713792477814997,-16.1633042655339,1.70965377688375,1.35839400533619
"99",0,0,NA,0,444000,1140000,4.08497547064425,2.52430794336663,0.714683371676624,-16.1406254469656,2.01895284329701,1.51384263676628
"100",1,1.56623148567874,0.448672406362578,0.01875,308000,1132000,4.87091605218312,2.73778727406285,2.23278477215947,6.46438644408224,1.309940472927,0.961398692626088
"101",0,0,NA,0,316000,1132000,5.39534800929415,3.09279337320033,0.72636937978983,-15.8457333518971,-0.134625011260367,0.570053297964718
"102",1,11.1486659577392,2.41131984570228,0.00666666666666667,324000,1132000,5.23985049318851,2.70125612672304,1.74463836285794,5.20697210520761,0.580933189686527,0.688521612542702
"103",1,1390.89740704535,7.2377044343834,0.0136986301369863,332000,1132000,5.20114599599368,4.29690587037335,1.87532795783547,5.87202670549991,0.764505625528309,0.71766630794132
"104",0,0,NA,0,340000,1132000,6.25022432208241,3.53099787558194,0.720921485202004,-15.9826140565291,-2.25013065446855,-0.132299160384356
"105",1,587.534791377298,6.37593546363053,0.0833333333333333,348000,1132000,5.91192983086939,1.81519827382166,1.35425448106972,7.36243499487796,-1.59369629648091,0.157694686808185
"106",1,1093.22394187269,6.99688635453921,0.0657894736842105,356000,1132000,6.05345894111813,2.83255108734528,0.384051317427903,7.06563810341984,-2.08030840577702,0.0386086702784582
"107",1,58.4129469607293,4.06753755979662,0.0133333333333333,364000,1132000,5.54807057662873,2.38244076963243,1.38955248711175,5.44210576363979,-0.995986102026962,0.451369789081951
"108",0,0,NA,0,372000,1132000,6.22822332616566,3.51897713569681,0.70229745297392,-16.4584903802536,-2.62696903418524,-0.112856147104097
"109",1,1275.67565062748,7.15123123929418,0.0443037974683544,380000,1132000,6.33591763527679,2.70073082458458,1.21509841645898,6.52029030533632,-2.82177842345275,-0.208886199019229
"110",1,198.419677235861,5.29038436954903,0.0256410256410256,388000,1132000,5.30667069765181,0.289853999519329,1.00539289847995,5.885103672506,-0.505396857040241,0.637890550043125
"111",0,0,NA,0,396000,1132000,5.61527642690976,3.2000409018357,0.701238870451207,-16.4859167578757,-1.36448937336214,0.398344749887896
"112",1,43.0614082490016,3.76262719574426,0.0131578947368421,404000,1132000,4.83366979062841,1.90621501884452,1.48109355798561,5.40426423631265,0.721564351627675,0.988383963535746
"113",1,20.5970662837802,3.02514865224506,0.00641025641025641,412000,1132000,4.57760526668535,2.08110371505334,1.23834615732857,4.23642308628611,1.20392276927999,1.17150061032652
"114",0,0,NA,0,420000,1132000,4.32667464633153,2.62067080005073,0.706859376843177,-16.3407684087001,1.50842316002874,1.34733585862609
"115",0,0,NA,0,428000,1132000,4.11606766846749,2.53650267845342,0.708768379902758,-16.2917312696482,1.59688925076572,1.4925649892869
"116",0,0,NA,0,436000,1132000,3.85773616747548,2.4369441365372,0.710314928028157,-16.2521013651893,1.9058169351605,1.66820479882711
"117",0,0,NA,0,444000,1132000,3.71526380442869,2.38371843251601,0.71157176620441,-16.2199587067778,1.9964278221281,1.76404202875058
"118",0,0,NA,0,452000,1132000,3.65375885689468,2.36110178512068,0.71258438846599,-16.1941029508811,2.0733755501893,1.80521034470446
"119",0,0,NA,0,460000,1132000,3.67997987713314,2.37071743927556,0.713312322321471,-16.1755389664604,2.13035012800359,1.78767380910522
"120",0,0,NA,0,308000,1124000,5.49039326301997,3.1386937216289,0.718312181974028,-16.0485407089315,-0.356362377473572,0.496479282365202
"121",1,203.253984852231,5.31445635390476,0.0133333333333333,316000,1124000,5.10090784414025,1.04892452873066,0.935407521069767,5.82438569666968,1.16419421452057,0.792552612062591
"122",0,0,NA,0,324000,1124000,5.56683196801978,3.17610213238171,0.72151352787486,-15.9676887216082,-0.331021073239583,0.436618229291211
"123",1,226.644952160671,5.42338470562184,0.00675675675675676,332000,1124000,5.61745493473515,1.02525253948294,0.677300320218526,5.17668523238772,-0.539742616026139,0.396617323542632
"124",1,1382.17161574432,7.23141117588307,0.04,340000,1124000,5.27246962080917,4.21014558394278,1.1737135045983,6.64507523292208,0.459301145939342,0.663856096359364
"125",1,109.094972622464,4.69221881132325,0.00666666666666667,348000,1124000,6.08170413681287,2.5344470757199,0.509286204187153,4.84925804933936,-2.01855542573963,0.014473261255768
"126",0,0,NA,0,356000,1124000,5.80934775883209,3.29776395033155,0.707581764361018,-16.3221966643334,-1.54020072163646,0.242203870283474
"127",0,0,NA,0,364000,1124000,5.19932179125436,3.00023501225893,0.70304570625289,-16.4391291213755,-0.0417515690639065,0.719036721414926
"128",0,0,NA,0,372000,1124000,5.15996858996459,2.98199004156017,0.699723959909778,-16.5252380562923,-0.186279029171312,0.748531031477627
"129",1,174.221914188662,5.1603298555228,0.0133333333333333,380000,1124000,5.27257974398446,0.747253535008289,0.37973521736135,5.24269534417945,-0.758650918437136,0.663772662386828
"130",0,0,NA,0,388000,1124000,5.00442585518599,2.91095659197434,0.697863401223335,-16.5736477094965,-0.212069526444103,0.863866287877579
"131",0,0,NA,0,396000,1124000,4.40796102687492,2.65389853588855,0.699045206684896,-16.5428835248814,1.4699593673015,1.29073103452162
"132",0,0,NA,0,404000,1124000,4.3839020705497,2.64402021166287,0.701071226773962,-16.4902639659305,1.13115077307167,1.30751875128754
"133",0,0,NA,0,412000,1124000,4.15059936689862,2.55011548720436,0.703592609858917,-16.4249908708879,1.43072296092598,1.4688863757479
"134",0,0,NA,0,420000,1124000,3.89823186068603,2.45228853329092,0.706217995833041,-16.3572734832812,1.72511290577288,1.64083718371435
"135",0,0,NA,0,428000,1124000,3.70247656389662,2.37899852848986,0.708613145333837,-16.2957138906564,1.81863618282288,1.7726109721122
"136",0,0,NA,0,436000,1124000,3.53339371107974,2.31746002841899,0.710509731457235,-16.247115696441,1.90996594984198,1.88544436422734
"137",0,0,NA,0,444000,1124000,3.48381903194885,2.29972073345849,0.711834910818208,-16.2132361760289,1.77785741356427,1.91836861804247
"138",0,0,NA,0,452000,1124000,3.51491753512998,2.31083276366956,0.712589168475447,-16.1939809878176,1.62427809769239,1.89772307980317
"139",0,0,NA,0,460000,1124000,3.50548100618381,2.30745526709925,0.71280746357117,-16.1884120090788,1.89001857164561,1.90399060801299
